district,id,district_id,incident_type,incident,organization_type_id,organization_type,time,leadername,organization,organization_id,intotal,demand,leadername1,demand_id,demand_clean
Ashoknagar,966079,1,अनिश्चितकालीन धरना,"आज दिनांक 01.02.25 को ग्राम कुम्‍हरिया तहसील ईसागढ निवासी सीताराम यादव पुत्र सूरज सिंह यादव मो. 7489688156 द्वारा ग्राम कुम्‍हरिया में बालाजी स्‍टोन क्रेशर द्वारा लीज से हटकर अवैध उत्‍खनन किये जाने, राजस्‍व का नुकसान किये जाने के विरोध में एवं क्रेशर को बंद किये जाने की मांग को लेकर कलेक्‍ट्रेड कार्यालय अशोकनगर के गेट पर 11.00 बजे से अनिश्चितकालीन धरना आरंभ किया गया। \r\n  उल्‍लेखनीय है कि उक्‍त क्रेशर परवेश सिंह सिकरवार पुत्र रामबाबू सिकरवार (रिटायर्ड पुलिस इंस्‍पेक्‍टर) निवासी मुरैना की है, जिसके पास ही फरियादी की लगभग 10 बीघा कृषि भूमि है, क्रेशर में बनी खंतियों में भरे हुये पानी से फरियादी द्वारा सिचाई की जाती है, लेकिन क्रेशर संचालक द्वारा खंतियों में भरे हुये पानी को खाली किया जा रहा है, जिस कारण फरियादी द्वारा उक्‍त क्रेशर का विरोध किया जावेगा।\r\nपूर्व में दिनांक 29.01.25 को भी उक्‍त व्‍यक्ति द्वारा कलेक्‍ट्रेट गेट के सामने ए‍क दिवसीय धरना दिया गया था, जिसे तहसीलदार अशोकनगर रोहित रघुवंशी द्वारा उचित कार्यवाही के आश्‍वासन पर समाप्‍त किया गया था, किन्‍तु प्रशासन द्वारा कोई कार्यवाही न करने के कारण पुन: धरना दिया जा रहा है।",3,कृषक संगठन,2025-02-01T15:33:37.000,"['सीताराम यादव', 'सूरज सिंह यादव']",किसान,13,1,नहरों का पानी/सिचाई समस्या,33,7,नहरों का पानी/सिचाई समस्या
Indore,967980,20,ज्ञापन,"दिनांक 09.02.25 को  11:30 बजे संयुक्त किसान मोर्चा के इंदौर संयोजक रामस्वरूप मंत्री  मध्य प्रदेश किसान मजदूर सेना के बबलू जाधव एवं मध्य प्रदेश किसान सभा जिला सचिव अरुण चौहान के संयुक्त नेतृत्व में किसानों की मांगों:-- प्रस्तावित कृषि विपणन पर राष्ट्रीय नीति प्रारूप को निरस्त करने, एमएसपी की गारंटी दिए जाने व 2 दिसंबर 2021 को केंद्र सरकार द्वारा संयुक्त किसान मोर्चा से किए गए वादों को पूरा किया जावे । तथा  इंदौर जिले के किसानों की स्थानीय मांगों एवं समस्याऍं जो निम्नानुसार है । \r\n1. वर्ष 2019 से 186 किसानों का भुगतान इंदौर कृषि उपज मंडी पर बकाया है इन किसानों के बकाया 2 करोड़ 74 लाख रुपया मंडी निधि से भुगतान किया जाए। \r\n2.  इंदौर जिले की हाईटेक मंडी इंदौर में किसानों को भोजन कैंटीन की सुविधा नहीं मिल रही है तुरंत कैंटीन सुविधा चालू की जाए, आरो वाटर कूलर कई दिनों से बंद पड़े हैं उन्हें चालू कराया जाए, इंदौर मंडी में 10 टन के दो इलेक्ट्रॉनिक तोल कांटे लगवाए जाएं ।\r\nचौथराम मंडी में सीसीटीवी कैमरे लगवाए जाएं साथ ही मंडी के चौकीदार व नाकेदार जो वर्षों से एक ही स्थान पर पदस्थ हैं उन्हें वहां से हटाया जाए तथा मंडी में रोटेशन पद्धति का पालन कराया जाए।\r\n3. मुख्यमंत्री खेत सड़क योजना चालू की जाए किसानों को बारिश में खेत पर वाहन ले जाने सहित फसल को खेत से लाने में भारी परेशानी का सामना करना पड़ता है तत्काल इस योजना को चालू किया जाए। \r\n4. पूरे मध्य प्रदेश में सोसाइटी  के एवं मंडी के चुनाव जल्द से जल्द कराया जाए । \r\n5. 2019 से प्याज, सोयाबीन के बकाया भावातर राशि तथा गेहूं बोनस राशि का भुगतान तत्काल किया जाए। \r\n6. इकोनामिक कॉरिडोर, रिंग रोड, इंदौर बुधनी रेल लाइन सहित सभी योजनाओं में खेती की जमीन का अधिगहण बगैर किसानों  की सहमति से नहीं किया जाए। \r\n7. अहिल्या पथ योजना रद्द की जाए जिसमें इंदौर विकास प्राधिकरण पूरी तरह से भूमिया बन चुका है अहिल्या पथ योजना में किसानों की सैकड़ो बीघा जमीन स्कीम लगाकर हडपी जा रही है इस योजना में कई गुना मीटर में स्कीम को बढ़ा दिया गया है यह योजना भारी भ्रष्टाचार की भेंट चढ़ चुकी है और यह बात किसी से छिपी नहीं है। \r\n8. घोड़ा रोज़ जंगली सुअरों  तथा आवारा पशुओं के आतंक को रोकने संबंधित समाधान तत्काल किए जाएं घोड़ारोज़ जंगली जानवरों द्वार",3,कृषक संगठन,2025-02-09T16:42:13.000,"['रामस्वरूप', 'जाधव अरुण चौहान']",किसान मोर्चा,3,7,मूल्य न मिलना(Minimum Support Price(MSP)),143,8,मूल्य न मिलना(Minimum Support Price(MSP))
Mandsaur,969810,47,ज्ञापन,"*कस्बा भानपुरा में भारतीय किसान संघ द्वारा किसानो की विभिन मांगों को लेकर ज्ञापन दिए जाने के संबंध में*-दिनांक 17.02.25 को 13.00 बजे भारतीय किसान संघ जिला अध्यक्ष कृपाल सिंह सोलंकी के नेतृत्व में  विभिन्न मांगो को लेकर भानपुरा तहसील कार्यालय पहुंचकर भानपुरा तहसीलदार को ज्ञापन दिया गया। संख्या लगभग 20 से 25 की रही।\r\nकिसानों की विभिन्न मांगे इस प्रकार हैं।\r\n1. इन्दौर में आउटर रिंग रोड के लिये किसानों की सहमति के बिना  सर्वे प्रारंभ किया गया है उसे रोका जाए।\r\n2. विगत 12 वर्षों से गाइड लाईन नहीं बड़ाई गई अतः प्रतिवर्ष 20 प्रतिशत के हिसाब से गाइड लाईन बढाई जाए। नई गाइड लाईन अनुसार उसका 4 गुना मुआवजा दिया जाए।\r\n3. प्रदेश के सभी विकास प्राधिकरणों को भंग किया जाए। यह अपने गठन के उद्देश्य से भटक कर भुमाफिया की तरह काम कर रहा है।\r\n4. सर्वोच्च न्यायालय द्वारा सात सुत्रीय गाइड लाईन का पालन वर्तमान राजपत्र में नहीं किया जाने से इसे निरस्त किया जावे। किसानों की आपत्ति का निराकरण कर संबंधित दर्ज प्रकरण में पारित निर्णय की प्रति किसानों को प्रदान की जाये।\r\n5. जनहित आवश्यकता विहीन अनियंत्रित भूमि अधिग्रहण को नियंत्रित किया जाकर जितनी भूमि का अधिग्रहण किया जा रहा है उसकी ही भूमि उस पटवारी हल्के में दिया जाये।\r\n6. भूमि अधिग्रहण की प्रक्रिया अधिनियम 2013 के भूल स्वरूप अनुसार की जाय।\r\n7. किसान के.सी.सी. लोन को सरकार की अऋण माफी घोषणा के कारण कालातित किसानों को मध्यप्रदेश की शिवराज सरकार ने ब्याज की गठरी उतारने की घोषणा की थी। किन्तु ना तो ऋण माफ हुआ न बीमा मिला, ना मुआवजा मिला, और ब्याज माफ हुआ। अतः सरकार आपना वादा निभाये। ऋण माफ कर खातों को चालु करे साथ ही बीमा ओर मुआवजा का लाभ किसानों को प्रदान करे।\r\n8. चंबल सिंचाई योजना के तहत सम्पूर्ण सिंचाई परियोजना सन् 2022 तक चालु करने की घोषणा हुई लेकिन प्रशासन की लापरवाही से अब तक 2025 में भी अधिकांश पाईप बंद पड़े है पाईप लाईन टूट-फूट पड़ी है। कोई सुनवाई नहीं हो रही है। किसान परेशान है अतः शीघ्र कार्यवाही की जाये। \r\n 9.गेहुँ पंजीयन के लिए पटवारीयों के द्वारा अब तक सर्वे रिपार्ट नहीं देने के कारण पंजीयन नहीं हो पा रहे है। अतः सर्वे रिपोट शीघ्र मंगवाई जाये एवं तोल सेन्टर मार्च 2025 तक चालु करवाए जाएं।",3,कृषक संगठन,2025-02-17T15:43:44.000,गरोठ कृपाल सिंह,भाकिस,2,25,नहरों का पानी/सिचाई समस्या,52,7,नहरों का पानी/सिचाई समस्या
Dhar,969827,14,ज्ञापन,"दिनांक 17.02.2025 को धार जिले के थाना राजगढ स्थित मंडी प्रांगण पर भारतीय किसान संघ सरदारपुर ब्‍लॉक सचिव रूपचंद कुमावत के नेतृत्‍व में किसानों की सोयाबीन की फसल के नुकसानी का सर्वे कर मुआवजा व बीमा किसानों के खाते में शीघ्र डालने, सरदारपुर क्षेत्र के बचे हुए गांवो को मां नर्मदा माही लिंक परियोजना से जोड़ने, भारत में चीन की लहसुन को पूर्ण रूप से प्रतिबंधित करने, जंगली जानवर घोड़ा रोज व सुअर की समस्या का समाधान करने आदि मांगो को लेकर प्रात 11.00 बजे से बैठक अयोजित की गई है, बाद मंडी प्रांगण राजगढ से रैली के रूप में रवाना होकर सरदारपुर एसडीएम कार्यालय पर पहुंचें, जहां पर उक्‍त मांगों का ज्ञापन दोप. 14.00 बजे सरदारपुर एसडीएम को दिया गया है । जहां पर 40-50 पर लोगों की उपस्थिति रही है । \r\n  इसी प्रकार धार जिले के थाना धामनोद मे भारतीय किसान संघ के धामनोद प्रभारी दिनेश पाटीदार के नेतृत्‍व में 1. इंदौर मे आउटर रिंग रोड के लिये किसानों की सहमति के बिना ज्‍वांइट सर्वे प्रारंभ किया गया है, उसे रोका जाए, विगत 12 वर्षों से गाईड लाईन नहीं बडाई गई, प्रतिवर्ष 20 प्रतिशत के हिसाब से गाइडलाईन बडाई जाए, नई गाइडलाईन अनुसार उसका 4 गुना मुआवजा दिया जाए, प्रदेश के सभी विकास प्राधिकरणों को भंग किया जाए, यह अपने गठन के उद्देश्‍य से भटक कर भू माफिया की तरह काम कर रहा है आदि मांगों को लेकर 15-20 किसानों की उपस्थिति में नायब तहसीलदार को दोप. 15.02 बजे ज्ञापन दिया गया है ।",3,कृषक संगठन,2025-02-17T16:01:14.000,रूपचंद कुमावत,भाकिस,2,50,फ़सल ख़राब/फसल अफलन,51,0,फ़सल ख़राब/फसल अफलन
Ujjain,971151,42,चक्का जाम,थाना भैरूगढ क्षेत्र अंतर्गत ढाबला फंटा पर नर्मदा पाइप लाइन से सिंचाई हेतु पानी प्रेशर से दिए जाने की मांग को लेकर दिनांक 22.02.25 के लगभग 11:30 बजे से 12:30 बजे तक स्‍थानीय किसान नेता अशोक जाट के नेतृत्‍व में लगभग 100 किसानों द्वारा धरना प्रदर्शन एवं उन्‍हेल-जावरा रोड पर चक्‍काजाम किया गया। इस दौरान खैरियत रही।,3,कृषक संगठन,2025-02-22T16:25:32.000,अशोक जाट,अन्‍य,40,100,नहरों का पानी/सिचाई समस्या,28,7,नहरों का पानी/सिचाई समस्या
Dewas,971943,44,ज्ञापन,"नर्मदा नदी से देवास व उज्जैन जिले को नर्मदा-क्षिप्रा लिंक परियोजना के माध्यम से पेयजल आपूर्ति की जाती है। इंदौर जिले के ग्राम उज्जयिनी से यह पानी पाईपलाइन के माध्यम से देवास व उज्जैन तक पंहुचाया जाता है। पूर्व में उज्जैयिनी से क्षिप्रा नदी में पानी छोड़ा जाता था जोकि लगभग 50 किमी तक किनारे बसे इंदौर, देवास व उज्जैन के ग्रामों के किसानों को सिंचाई हेतु उपलब्ध रहता था व आसपास के कुएं ट्यूबवेल आदि भी रिचार्ज होते थे। विगत 02 सालों से यह पेयजल पाईपलाइन से देवास व उज्जैन को उपलब्ध कराया जा रहा है, इससे क्षिप्रा नदी जनवरी के बाद सूख जाती है। अब किसान गर्मी की फसल (जायद) नहीं ले पा रहे है, इसलिये किसान क्षिप्रा नदी में पानी छोड़ने की मांग को लेकर दिनांक 25.02.25 को 11:30 से 14:00 बजे तक इंदौर जिले के थाना क्षिप्रा अंतर्गत ग्राम सेमलिया चाऊ में इंदौर बुदनी रेल्वे लाइन संघर्ष समिति अध्यक्ष व किसान नेता हंसराज मण्डलोई निवासी इंदौर के नेतृत्व  में लगभग 40 की उपस्थिति में धरना प्रदर्शन कर मान0 मुख्य मंत्री महोदय के नाम संबोधित ज्ञापन बरौठा नायब तहसीलदार श्रीमति दीपका परमार को दिया गया ।",3,कृषक संगठन,2025-02-25T16:25:50.000,हंसराज मण्डलोई,किसान,13,40,नहरों का पानी/सिचाई समस्या,38,7,नहरों का पानी/सिचाई समस्या
Guna,967141,17,अन्य,"दिनांक 05-02-2025 को भारतीय किसान संघ के प्रांतीय आव्‍हान पर मध्‍य भारत प्रांत के प्रांत अध्‍यक्ष सर्वज्ञ दीवान के नेतृत्‍व में संगठन कार्यालय शिवाजी नगर भोपाल में प्रात: 10:00 बजे से एक दिवसीय धरना, प्रदर्शन, रैली एवं वल्‍लभ भवन घेराव व ज्ञापन कार्यक्रम में सम्मिलित होने के लिये गुना जिले से जिलाध्‍यक्ष बृजेश सिंह रघुवंशी के नेतृत्‍व में दिनांक 04-02-2025 को 18:00 बजे 100-125 कार्यकर्ता रेल द्वारा एवं दिनांक 05-02-2025 को 70-80 कार्यकर्ता प्रात: 07:00 बजे निजी वाहनों से भोपाल रवाना हुए।\r\n\r\nप्रमुख मांगे –\r\n\r\n1-    राजस्‍व– फौती, नामांतरण, बटवारा, सीमांकन, ऑनलाईन रिकार्ड एवं नक्‍शा सुधारा जायें।\r\n\r\n2-    बिजली- हॉर्स पावर क्षमता वृध्दि वापिस की जाये, एवं जले हुये ट्रांसफार्मर एवं लाईने समय सीमा मे बदले जायें, ओवरलोड ट्रांसफार्मरों की क्षमता मे वृध्दि की जायेगा, घरेलू एवं कृषि कनेक्‍शनों का मौके पर कुछ नही है उनकी जांच कराकर कनेक्‍शन एवं बिल राशि समाप्‍त किये जाये।\r\n\r\n3-    कृषि- डीएपी, यूरिया, खाद सहकारिता के माध्‍यम से नगद वितरण समय पर किया जाये।\r\n\r\n4-    मण्‍डी- सभी मण्डियों मे बडे फ्लेट कांटे से तुलाई अनिवार्य की जायेगा एवं मण्‍डी परिसर मे ही किसानों का भुगतान किया जाये।\r\n\r\n5- पशुपालन- नकली दूध बनाने वाले एवं बेचने वालों पर सख्‍त कार्यवाही की जाये, गाय का दूध गुणवत्‍ता के आधार पर खरीदा जाये, गौ-अभ्‍यारण्‍य बनाये जायें।\r\n\r\n6-    सिंचाई- प्रस्‍तावित एवं स्‍वीकृत नहरों के कार्य पूर्ण किये जायें।\r\n\r\n7-    सभी फसलों को समर्थन मूल्‍य से नीचे न खरीदा जाये।\r\n\r\n8-    किसानों पर बने सभी प्रकार के झूठे प्रकरण वापस लिये जायें।\r\n\r\n9-    पूसा बासमती धान को जी0आइ0 टेग दिलवाया जाये।",3,कृषक संगठन,2025-02-05T17:22:19.000,बृजेश सिंह रघुवंशी,भाकिस,2,200,खाद की कमी: यूरिया(Urea) डीएपी(DAP)/काला बाजारी,18,5,खाद की कमी: यूरिया(Urea) डीएपी(DAP)/काला बाजारी
Guna,967141,17,अन्य,"दिनांक 05-02-2025 को भारतीय किसान संघ के प्रांतीय आव्‍हान पर मध्‍य भारत प्रांत के प्रांत अध्‍यक्ष सर्वज्ञ दीवान के नेतृत्‍व में संगठन कार्यालय शिवाजी नगर भोपाल में प्रात: 10:00 बजे से एक दिवसीय धरना, प्रदर्शन, रैली एवं वल्‍लभ भवन घेराव व ज्ञापन कार्यक्रम में सम्मिलित होने के लिये गुना जिले से जिलाध्‍यक्ष बृजेश सिंह रघुवंशी के नेतृत्‍व में दिनांक 04-02-2025 को 18:00 बजे 100-125 कार्यकर्ता रेल द्वारा एवं दिनांक 05-02-2025 को 70-80 कार्यकर्ता प्रात: 07:00 बजे निजी वाहनों से भोपाल रवाना हुए।\r\n\r\nप्रमुख मांगे –\r\n\r\n1-    राजस्‍व– फौती, नामांतरण, बटवारा, सीमांकन, ऑनलाईन रिकार्ड एवं नक्‍शा सुधारा जायें।\r\n\r\n2-    बिजली- हॉर्स पावर क्षमता वृध्दि वापिस की जाये, एवं जले हुये ट्रांसफार्मर एवं लाईने समय सीमा मे बदले जायें, ओवरलोड ट्रांसफार्मरों की क्षमता मे वृध्दि की जायेगा, घरेलू एवं कृषि कनेक्‍शनों का मौके पर कुछ नही है उनकी जांच कराकर कनेक्‍शन एवं बिल राशि समाप्‍त किये जाये।\r\n\r\n3-    कृषि- डीएपी, यूरिया, खाद सहकारिता के माध्‍यम से नगद वितरण समय पर किया जाये।\r\n\r\n4-    मण्‍डी- सभी मण्डियों मे बडे फ्लेट कांटे से तुलाई अनिवार्य की जायेगा एवं मण्‍डी परिसर मे ही किसानों का भुगतान किया जाये।\r\n\r\n5- पशुपालन- नकली दूध बनाने वाले एवं बेचने वालों पर सख्‍त कार्यवाही की जाये, गाय का दूध गुणवत्‍ता के आधार पर खरीदा जाये, गौ-अभ्‍यारण्‍य बनाये जायें।\r\n\r\n6-    सिंचाई- प्रस्‍तावित एवं स्‍वीकृत नहरों के कार्य पूर्ण किये जायें।\r\n\r\n7-    सभी फसलों को समर्थन मूल्‍य से नीचे न खरीदा जाये।\r\n\r\n8-    किसानों पर बने सभी प्रकार के झूठे प्रकरण वापस लिये जायें।\r\n\r\n9-    पूसा बासमती धान को जी0आइ0 टेग दिलवाया जाये।",3,कृषक संगठन,2025-02-05T17:22:19.000,बृजेश सिंह रघुवंशी,भाकिस,2,200,नहरों का पानी/सिचाई समस्या,18,7,नहरों का पानी/सिचाई समस्या
Panna,967001,41,ज्ञापन,"दिनांक 05.02.25 को 13.00 बजे से 15.00 बजे तक भारतीय किसान संघ के जिलाध्यक्ष रामकृपाल पटेल के नेतृत्व में 50 ट्रेक्टरों के माध्यम से लगभग 200 किसानों द्वारा नगर पन्ना स्थित पॉलिटेक्निक ग्राउण्ड पन्ना में एकत्र होकर एक मंचीय कार्यक्रम पश्चात ट्रेक्टर रैली के रूप में पुराना पावर हाउस, गांधी चौक, कचहरी चौराहा, अजयगढ चौराहा होते हुये कलेक्ट्रेट कार्यालय पन्ना पहुंचकर एक ज्ञापन माननीय मुख्यमंत्री एवं कृषि मंत्री महोदय के नाम संबोधित अपर कलेक्टर पन्ना को सौंपते हुये किसानों का गेहॅू 2700 रूपये एवं धान 3100 रूपये प्रति क्विंटल शासन द्वारा क्रय किये जाने, 25000 रूपये में किसान को निजी ट्रांसफार्मर दिये जाने, फसल बीमा का लाभ गांव की इकाई या पटवारी हल्का मान्य कर दिया जाये, पन्ना जिले के औद्योगिक क्षेत्र महेबा, देवरा-पुरैना या अन्य तहसील के अंतर्गत क्षेत्रीय जमीनों के रजिस्ट्री रेट अपडेट कराये जाने आदि 11 सूत्रीय स्थानीय समस्याओं के निराकरण की मांग की गई । उक्त कार्यक्रम में भारतीय किसान संघ महाकौशल प्रांत के संगठन मंत्री श्री भरत जी भी शामिल रहे ।",3,कृषक संगठन,2025-02-05T18:19:57.000,रामकृपाल पटेल,भाकिस,2,200,फसल बीमा,13,1,फसल बीमा
Barwani,967213,4,बैठक,"भारतीय किसान संघ:- दिनांक 05.02.25 को बडवानी जिला मुख्‍यालय पर भारतीय किसान संघ के जिला अध्‍यक्ष भगवान पटेल के नेतृत्‍व में दोपहर 14.20 बजे से 16.00 बजे राजघाट रोड स्थित कृषि उपज मंडी परिसर में मासिक बैठक आयोजित की गई। बैठक में किसान संघ के द्वारा आयोजित अन्‍न दान कार्यक्रम चलाने, फसलों का समर्थन मूल्य बढ़ाने,  क्षतिग्रस्त नहरों को सुधारने, सोसायटी में खाद उपलब्ध कराने आदि स्थानीय समस्याओं को लेकर चर्चा की गई। जिसमें लगभग 08-10 पदाधिकारियों की उपस्थिति रही।",3,कृषक संगठन,2025-02-06T15:48:18.000,भगवान पटेल,अभाकिसं,1,8,मूल्य न मिलना(Minimum Support Price(MSP)),10,8,मूल्य न मिलना(Minimum Support Price(MSP))
