district,id,district_id,incident_type,incident,organization,time,leadername,organization_type,intotal,demand,organization_type_id,organization_id,leadername1,demand_id,demand_clean
Dhar,52647,14,अन्य,"दिनांक 01.02.16 को भारतीय किसान संघ के जिलाअध्य क्ष धार महेश ठाकुर के नेतृत्व  में 20- 25 कि संख्या  में दोपहर 12.50 बजे कलेक्टर कार्या०धार पहुंचकर मुख्यकमंत्री महोदय के नाम एक ज्ञापन सिटी मजिस्ट्रे ट धार को दिया गया जिसमें मांग है की जिले में सिंचाई परियोजना हेतु मां नर्मदा का जल जिले की चंबल, चामला, बागेडी एवं माही नदी से जोड़ा जावे। जिले के पांच विकास खण्ड् नालछा, धार, तिरला, बदनावर एवं सरदारपुर क्षेत्र में सिंचाई हेतु सिंचाई परियोजना प्रोजेक्ट बनाकर सिंचाई व्यरवस्थाल की जावे। किसानों को फसलों की लागत के आधार पर मुल्य दिया जावे। किसानों के खेतों के रास्तों का अंबन नक्शे में किया जावे। किसानों के खेतों में बने मकान के डायवर्शन की बाध्यिता समाप्त  कि जावे, किसान के मकान गोदाम या कृषि व्योवसाय के निर्माण हेतु मकान की अनुमति दी जावे।",भाकिस,2016-02-01T14:37:45.000,महेश ठाकुर,['कृषक संगठन'],20,नहरों का पानी/सिचाई समस्या,3,2,10,7,नहरों का पानी/सिचाई समस्या
Ujjain,52711,42,ज्ञापन,"दिनांक 1.2.2016 को भारतीय किसान संघ उज्जैन तहसील अध्यक्ष चरणसिंह चैधरी के नेतृत्व में लगभग 25-30 कार्यकर्ता दोपहर 13.50 बजे कोठी पैलेस स्थित जिलाधीश कार्यालय उज्जैन पहुंचे जहां उज्जैन तहसील के गांवों में सोयाबीन की फसल नष्ट हो गई थी, उसकी मुआवजा राशि अभी तक नहीं मिली, सिंहस्थ क्षेत्र में जो जमीन अधिग्रहण की गई उसके बिजली बिल विद्युत मंडल द्वारा दिये जा रहे है वो माफ किये जाने तथा अधिग्रहित की गई जमीन का मुआवजा 8 हजार रूपये बीघा तय किया गया था, मुआवजा दिया जाये मुख्यमंत्री सडक योजना बंद है उसे चालू किया जावे, पंचक्रोशी मार्ग पर तार केबल पुराने हो गए है आदि 10 सूत्रीय मांगों का ज्ञापन माननीय मुख्यमंत्री महोदय के नाम का डिप्टी कलेक्टर बमना को दिया गया।",भाकिस,2016-02-01T16:14:38.000,भारतीय किसान संघ उज्जैन तहसील अध्यक्ष चरणसिंह चौधरी,['कृषक संगठन'],25,जमीनअधिग्रहण,3,2,51,12,जमीनअधिग्रहण
Ujjain,52711,42,ज्ञापन,"दिनांक 1.2.2016 को भारतीय किसान संघ उज्जैन तहसील अध्यक्ष चरणसिंह चैधरी के नेतृत्व में लगभग 25-30 कार्यकर्ता दोपहर 13.50 बजे कोठी पैलेस स्थित जिलाधीश कार्यालय उज्जैन पहुंचे जहां उज्जैन तहसील के गांवों में सोयाबीन की फसल नष्ट हो गई थी, उसकी मुआवजा राशि अभी तक नहीं मिली, सिंहस्थ क्षेत्र में जो जमीन अधिग्रहण की गई उसके बिजली बिल विद्युत मंडल द्वारा दिये जा रहे है वो माफ किये जाने तथा अधिग्रहित की गई जमीन का मुआवजा 8 हजार रूपये बीघा तय किया गया था, मुआवजा दिया जाये मुख्यमंत्री सडक योजना बंद है उसे चालू किया जावे, पंचक्रोशी मार्ग पर तार केबल पुराने हो गए है आदि 10 सूत्रीय मांगों का ज्ञापन माननीय मुख्यमंत्री महोदय के नाम का डिप्टी कलेक्टर बमना को दिया गया।",भाकिस,2016-02-01T16:14:38.000,भारतीय किसान संघ उज्जैन तहसील अध्यक्ष चरणसिंह चौधरी,['कृषक संगठन'],25,फ़सल ख़राब/फसल अफलन,3,2,51,0,फ़सल ख़राब/फसल अफलन
Ujjain,52711,42,ज्ञापन,"दिनांक 1.2.2016 को भारतीय किसान संघ उज्जैन तहसील अध्यक्ष चरणसिंह चैधरी के नेतृत्व में लगभग 25-30 कार्यकर्ता दोपहर 13.50 बजे कोठी पैलेस स्थित जिलाधीश कार्यालय उज्जैन पहुंचे जहां उज्जैन तहसील के गांवों में सोयाबीन की फसल नष्ट हो गई थी, उसकी मुआवजा राशि अभी तक नहीं मिली, सिंहस्थ क्षेत्र में जो जमीन अधिग्रहण की गई उसके बिजली बिल विद्युत मंडल द्वारा दिये जा रहे है वो माफ किये जाने तथा अधिग्रहित की गई जमीन का मुआवजा 8 हजार रूपये बीघा तय किया गया था, मुआवजा दिया जाये मुख्यमंत्री सडक योजना बंद है उसे चालू किया जावे, पंचक्रोशी मार्ग पर तार केबल पुराने हो गए है आदि 10 सूत्रीय मांगों का ज्ञापन माननीय मुख्यमंत्री महोदय के नाम का डिप्टी कलेक्टर बमना को दिया गया।",भाकिस,2016-02-01T16:14:38.000,भारतीय किसान संघ उज्जैन तहसील अध्यक्ष चरणसिंह चौधरी,['कृषक संगठन'],25,बिजली बिल,3,2,51,3,बिजली बिल
Sehore,52778,27,अन्य,"दिनांक 01-02-16 को श्यामपुर में 13-25 बजे भारतीय किसान संघ द्वारा जिलाध्यक्ष भीमसिंह ठाकुर के नेतृत्व में (35) द्वारा  किसान जन जागरण अभियान चलाया जा रहा है, अभियान के दौरान गांव-गांव जाकर किसानों को कृषि के बारे में जागरूक कर किसानों से फसलों के लागत मूल्य निर्धारण, भू-राजस्व संहिता की विसंगतियों को दूर करने व फसल बीमा नीति आदि के संबंध में किसानों की समस्याकओं को लेकर तहसील कार्यालय श्यातमपुर पहॅुचकृर मुख्यिमंत्री एवं प्रधानमंत्री महोदय के नाम से सम्बोंधित ज्ञापन तहसीलदार को दिया गया ।",भाकिस,2016-02-01T17:01:55.000,जिलाध्यक्ष भीमसिंह ठाकुर,['कृषक संगठन'],35,फसल बीमा,3,2,24,1,फसल बीमा
Jabalpur,52868,21,ज्ञापन,"दिनांक 01.02.16 को भारतीय किसान संघ ब्लाक इकाई द्वारा गेहॅूं और धान का बोनस चालू कर पुन: दिया जाये, किसानों की आकस्मिक मौत पर सहायता राशि दी जाये आदि 14 सूत्रीय मांगों को लेकर भारतीय किसान संघ के जिला अध्यक्ष प्रहलाद पटैल व ब्लाक अध्यक्ष सुरेश पटेल के नेतृत्व में (100) द्वारा 16:40 बजे नारेबाजी प्रदर्शन कर एसडीएम सिहोरा को ज्ञापन सौंपा गया।",भारतीय किसान संघ (आरएसएस),2016-02-02T11:44:14.000,जिला अध्यक्ष प्रहलाद पटैल व ब्लाक अध्यक्ष सुरेश पटेल,['कृषक संगठन'],100,सहायता राशि/मुआवज़ा,3,25,52,10,सहायता राशि/मुआवज़ा
Jabalpur,52868,21,प्रदर्शन,"दिनांक 01.02.16 को भारतीय किसान संघ ब्लाक इकाई द्वारा गेहॅूं और धान का बोनस चालू कर पुन: दिया जाये, किसानों की आकस्मिक मौत पर सहायता राशि दी जाये आदि 14 सूत्रीय मांगों को लेकर भारतीय किसान संघ के जिला अध्यक्ष प्रहलाद पटैल व ब्लाक अध्यक्ष सुरेश पटेल के नेतृत्व में (100) द्वारा 16:40 बजे नारेबाजी प्रदर्शन कर एसडीएम सिहोरा को ज्ञापन सौंपा गया।",भारतीय किसान संघ (आरएसएस),2016-02-02T11:44:14.000,जिला अध्यक्ष प्रहलाद पटैल व ब्लाक अध्यक्ष सुरेश पटेल,['कृषक संगठन'],100,सहायता राशि/मुआवज़ा,3,25,52,10,सहायता राशि/मुआवज़ा
Jabalpur,52868,21,नारेबाज़ी,"दिनांक 01.02.16 को भारतीय किसान संघ ब्लाक इकाई द्वारा गेहॅूं और धान का बोनस चालू कर पुन: दिया जाये, किसानों की आकस्मिक मौत पर सहायता राशि दी जाये आदि 14 सूत्रीय मांगों को लेकर भारतीय किसान संघ के जिला अध्यक्ष प्रहलाद पटैल व ब्लाक अध्यक्ष सुरेश पटेल के नेतृत्व में (100) द्वारा 16:40 बजे नारेबाजी प्रदर्शन कर एसडीएम सिहोरा को ज्ञापन सौंपा गया।",भारतीय किसान संघ (आरएसएस),2016-02-02T11:44:14.000,जिला अध्यक्ष प्रहलाद पटैल व ब्लाक अध्यक्ष सुरेश पटेल,['कृषक संगठन'],100,सहायता राशि/मुआवज़ा,3,25,52,10,सहायता राशि/मुआवज़ा
Khargone,52973,25,ज्ञापन,"आज दिनांक 02.02.16 को 11:00 बजे जिला खरगोन के कस्बाे कसरावद स्थित कृषि उपज मंडी प्रांगण में भारतीय किसान संघ के ब्लाक अध्यक्ष दिनेश यादव के नेतृत्व  में 60-70 किसानों ने एकत्रित होकर एक बैठक का आयोजन किया गया जिसमें किसानों की समस्या के संबंध में विस्तार से चर्चा की गई बाद 14:00 बजे रैली के रूप में एस.डी.एम. कार्यालय पहुंच कर माननीय प्रधानमंत्री महोदय एवं माननीय मुख्यमंत्री महोदय को संबोधित एक ज्ञापन 14:15 बजे एस.डी.एम. कसरावद को निम्नन मांगों का ज्ञापन सौंपा गया ।
	इसी प्रकार आज दिनांक 02.02.16 को 14:00 बजे जिला खरगोन के कस्बां बडवाह में भारतीय किसान संघ के ब्लाक अध्यक्ष सीताराम ईंगला के नेतृत्व  में 25-30 किसानों द्वारा माननीय प्रधानमंत्री महोदय एवं माननीय मुख्य मंत्री महोदय को संबोधित एक ज्ञापन एस.डी.एम. बडवाह को सौंपे जाने की योजना थी जो माननीय मुख्य मंत्री महोदय का कस्बे में भ्रमण होने से अधिकारीयों की व्यपस्तता के चलते ज्ञापन निरस्त किया गया । 
	इसी प्रकार आज दिनांक 02.02.16 को 12:00 बजे से 13:30 जिला खरगोन के कस्बा  भीकनगॉव में मंडी प्रांगण में भारतीय किसान संघ के ब्लाक अध्यक्ष तेजपाल गिन्नांरे के नेतृत्व  में 50-60 किसानों द्वारा बैठक का आयोजन किया गया गया । बाद 14:00 बजे एस.डी.एम. कार्यालय भीकनगॉव पहुंच कर माननीय प्रधानमंत्री महोदय एवं माननीय मुख्यमंत्री महोदय को संबोधित निम्न मांगों का ज्ञापन दिया गया ।
	उल्लेंखनीय है कि किसानों द्वारा दिनांक 09.01.16 से 11.01.16 तक तीन दिवसीय भारतीय किसान संघ के प्रांतिय अधिवेशन इंदौर के दौरान 4 प्रस्ताव पारित किये गये थे जो क्रमश: 1. लागत के आधार पर 50 प्रतिशत लाभांश जोड कर किसानों का फसल उत्पादन का मूल्य दिया जाये । 2. फसल बीमा नीति में सुधार बीमा खेत ईकाई मानकर किया जाये । 3. गांव-गांव एवं क्षेत्र में जल का संकट समाप्त हो 4. गौसंवर्धन एवं संरक्षण पर जोर दिया जाये के प्रस्ता व पारित किये गये थे इन प्रस्तावों को दिनांक 15.01.16 से 30.01.16 तक गांव-गांव जाकर किसान जन जागरण अभियान के तहत इन प्रस्तावों के संबंध में बताया गया एवं लागत मूल्यर का फार्म भरवा कर लागत मूल्य निकलवाया गया एवं स्थानीय समस्याओं को एकत्रित किया गया । इन्हीं 4 प्रस्तांवों एवं ग्राम की स्थानीय समस्याओं को लेकर ज्ञापन दिये गये है।",भारतीय किसान संघ (आरएसएस),2016-02-02T16:02:10.000,ब्लाक अध्यक्ष दिनेश यादव,['कृषक संगठन'],60,फसल बीमा,3,25,24,1,फसल बीमा
Hoshangabad,53003,19,अन्य,"दिनांक 01.02.2016 को तहसील इकाई पिपरिया द्वारा अध्यक्ष शिवराज पटेल के नेतृत्व में किसानो की समस्याओं को लेकर तहसीलदार श्रीमती विकींसिर मारे को 14.25 बजे लगभग 15-20 किसानो द्वारा अपनी 9 सूत्रीय मांगों का ज्ञापन सौपा गया । जिसमें सभी फसलों का लागत के आधार पर मूल्यि निर्धारण, मण्डीग अधिनियम के तहत फसलो का मूल्य  भुगतान मण्डी प्रागंण में एवं विगत वर्ष खराब हुई फसलों की बीमा राशि शीध्र किसानो को देने आदि मांगे शामिल है।",भाकिस,2016-02-02T16:19:31.000,अध्यक्ष शिवराज पटेल के नेतृत्व,['कृषक संगठन'],15,फसल बीमा,3,2,30,1,फसल बीमा
