district,id,district_id,incident_type,incident,organization,time,leadername,organization_type,intotal,demand,organization_type_id,organization_id,leadername1,demand_id,demand_clean
Harda,61056,18,अन्य,"दिनांक 02.03.2016 को संभागीय स्तार पर होशगाबाद में आयोजित आंदोलन में शामिल होने हेतु हरदा जिले से राधेश्या0म देवडा भाकिस हरदा के जिलाध्यवक्ष्‍ के नेतृत्व्न‍ प्रात 6.00 बजें लगभग 500- 600 पदाधिकारी  व कार्यकर्ता किसान अपने निजी साधनो एंव ट्रेन द्वारा फसल बीमा मुआवजा राशि, मूंग की फसल हेतु नहरो में पानी छोडने, बीमा नीति में सुधार आदि मांगो को लेकर होशंगाबाद रवाना होना प्रस्ता तिव है",भाकिस,1970-01-01 00:24:16.850954,राधेश्याअम देवडा,['कृषक संगठन'],500,फसल बीमा,3,2,16,1,फसल बीमा
Harda,61060,18,अन्य,"दिनांक 02.03.2016 को संभागीय स्तर पर होशगाबाद में आयोजित किसान आंदोलन में शामिल होने हेतु हरदा जिले से राधेश्याम देवडा भाकिस हरदा के जिलाध्यक्ष्‍ के नेतृत्व प्रात 6.00 बजें लगभग 500- 600 पदाधिकारी व कार्यकर्ता किसान अपने निजी साधनो एंव ट्रेन द्वारा फसल बीमा मुआवजा राशि, मूंग की फसल हेतु नहरो में पानी छोडने, बीमा नीति में सुधार आदि मांगो को लेकर होशंगाबाद रवाना होना प्रस्तातिव है",भाकिस,1970-01-01 00:24:16.851204,राधेश्‍याम देवडा,['कृषक संगठन'],500,फसल बीमा,3,2,16,1,फसल बीमा
Hoshangabad,61070,19,अन्य,"दिनांक 02.03.16 को 11.00 बजे से भाकिसं (रामभरौस बासौतिया गुट) विभागाध्यक्ष जगदीश पाटिल के नेतृत्व में 8 सूत्रीय मांगों- गर्मी की मूंग की फसल हेतु नहरों से पानी दिया जाए, गेहूं खरीदी केन्द्रों  के तौल कांटों का प्रमाणीकरण आदि को लेकर पीपल चौक होशंगाबाद के समीप एक दिवसीय संभाग स्तरीय धरना/सभा/रैली कार्यक्रम का आयोजन प्रस्तावित है। धरना/सभा/रैली कार्यक्रम में बैतूल, हरदा, होशंगाबाद के लगभग (1500) किसानों द्वारा भाग लिया जायेगा।",अन्‍य,1970-01-01 00:24:16.851515,जगदीश पाटिल,['कृषक संगठन'],1500,मंडी व्यवस्था/खरीदी केन्द्,3,40,11,11,मंडी व्यवस्था/खरीदी केन्द्
Hoshangabad,61446,19,अन्य,"दिनांक 02.03.16 को 13.00 बजे से 16.00 बजे तक भाकिसं (रामभरौस बासौतिया गुट) विभागाध्यक्ष जगदीश पाटिल के नेतृत्व में 8 सूत्रीय मांगों- गर्मी की मूंग की फसल हेतु नहरों से पानी दिया जाए, गेहूं खरीदी केन्द्रों के तौल कांटों का प्रमाणीकरण आदि को लेकर पीपल चौक होशंगाबाद के समीप एक दिवसीय संभाग स्तरीय धरना/सभा कार्यक्रम किया गया। कार्यक्रम में प्रमुख रुप से प्रदेश उपाध्यक्ष रामकृष्ण  चौधरी, राष्ट्रीय कार्यकारिणी सदस्य सुरेश गुर्जर, प्रांतीय मंत्री चंद्रकांत गौर, प्रांतीय जैविक प्रमुख सर्वज्ञ दीवान, होशंगाबाद जिलाध्यक्ष सूरजबली जाट, बैतूल जिलाध्यक्ष फांसीराम जी दावले, संभागीय मंत्री शैतान सिंह सहित लगभग (600-700) किसानों ने भाग लिया। वक्ता्ओं द्वारा किसानों की समस्याओं को लेकर अपने वक्त‍व्य दिये। वक्ताओं द्वारा संभाग में संभागायुक्त तुरंत नियुक्त करने, लंबित फसल क्षतिपूर्ति बीमा राशि भुगतान करने, मूंग के लिये नहरों में पानी देने, अधिकारियों की कार्यप्रणाली के संबंध में वक्तगव्य दिये गये। धरना स्थल पर डिप्टी कमिश्नर मनोज तिवारी को 14 सूत्रीय मांगों का ज्ञापन सौंपा गया। किसान संघ को मनोज तिवारी द्वारा आश्वासन दिया गया कि उक्त  मांगों को लेकर कमिश्नर महोदय के समक्ष बिंदुवार चर्चा की जायेगी। जिस पर किसानों ने आपत्ति ली। चर्चा पश्चात् निर्णय लिया गया कि 02 दिवस में किसान प्रतिनिधियों के साथ बैठक आयोजित कर मांगों पर समाधान किया जायेगा। बाद 16.30 बजे धरना समाप्ति की घोषणा की गयी। धरना पश्चात् धरना स्थल पर ही प्रांतीय संभागीय, जिला पदाधिकारियों की बैठक हुई। जिसमें निर्णय लिया गया कि यदि बैठक में सकारात्मक निर्णय नहीं होते हैं तो किसान संघ द्वारा नहर विभाग के अधिकारियों के पुतले जलाकर विरोध करेंगे एवं अपने-अपने क्षेत्र के जनप्रतिनिधियों का घेराव कर मूंग फसल हेतु नहरों में पानी छोडने की मांग की जावेगी।",अन्‍य,1970-01-01 00:24:16.941399,जगदीश पाटिल,['कृषक संगठन'],700,मंडी व्यवस्था/खरीदी केन्द्,3,40,11,11,मंडी व्यवस्था/खरीदी केन्द्
Hoshangabad,61446,19,अन्य,"दिनांक 02.03.16 को 13.00 बजे से 16.00 बजे तक भाकिसं (रामभरौस बासौतिया गुट) विभागाध्यक्ष जगदीश पाटिल के नेतृत्व में 8 सूत्रीय मांगों- गर्मी की मूंग की फसल हेतु नहरों से पानी दिया जाए, गेहूं खरीदी केन्द्रों के तौल कांटों का प्रमाणीकरण आदि को लेकर पीपल चौक होशंगाबाद के समीप एक दिवसीय संभाग स्तरीय धरना/सभा कार्यक्रम किया गया। कार्यक्रम में प्रमुख रुप से प्रदेश उपाध्यक्ष रामकृष्ण  चौधरी, राष्ट्रीय कार्यकारिणी सदस्य सुरेश गुर्जर, प्रांतीय मंत्री चंद्रकांत गौर, प्रांतीय जैविक प्रमुख सर्वज्ञ दीवान, होशंगाबाद जिलाध्यक्ष सूरजबली जाट, बैतूल जिलाध्यक्ष फांसीराम जी दावले, संभागीय मंत्री शैतान सिंह सहित लगभग (600-700) किसानों ने भाग लिया। वक्ता्ओं द्वारा किसानों की समस्याओं को लेकर अपने वक्त‍व्य दिये। वक्ताओं द्वारा संभाग में संभागायुक्त तुरंत नियुक्त करने, लंबित फसल क्षतिपूर्ति बीमा राशि भुगतान करने, मूंग के लिये नहरों में पानी देने, अधिकारियों की कार्यप्रणाली के संबंध में वक्तगव्य दिये गये। धरना स्थल पर डिप्टी कमिश्नर मनोज तिवारी को 14 सूत्रीय मांगों का ज्ञापन सौंपा गया। किसान संघ को मनोज तिवारी द्वारा आश्वासन दिया गया कि उक्त  मांगों को लेकर कमिश्नर महोदय के समक्ष बिंदुवार चर्चा की जायेगी। जिस पर किसानों ने आपत्ति ली। चर्चा पश्चात् निर्णय लिया गया कि 02 दिवस में किसान प्रतिनिधियों के साथ बैठक आयोजित कर मांगों पर समाधान किया जायेगा। बाद 16.30 बजे धरना समाप्ति की घोषणा की गयी। धरना पश्चात् धरना स्थल पर ही प्रांतीय संभागीय, जिला पदाधिकारियों की बैठक हुई। जिसमें निर्णय लिया गया कि यदि बैठक में सकारात्मक निर्णय नहीं होते हैं तो किसान संघ द्वारा नहर विभाग के अधिकारियों के पुतले जलाकर विरोध करेंगे एवं अपने-अपने क्षेत्र के जनप्रतिनिधियों का घेराव कर मूंग फसल हेतु नहरों में पानी छोडने की मांग की जावेगी।",अन्‍य,1970-01-01 00:24:16.941399,जगदीश पाटिल,['कृषक संगठन'],700,किसानों द्वारा आत्महत्या/आत्महत्या का प्रयास,3,40,11,9,किसानों द्वारा आत्महत्या/आत्महत्या का प्रयास
Hoshangabad,61446,19,अन्य,"दिनांक 02.03.16 को 13.00 बजे से 16.00 बजे तक भाकिसं (रामभरौस बासौतिया गुट) विभागाध्यक्ष जगदीश पाटिल के नेतृत्व में 8 सूत्रीय मांगों- गर्मी की मूंग की फसल हेतु नहरों से पानी दिया जाए, गेहूं खरीदी केन्द्रों के तौल कांटों का प्रमाणीकरण आदि को लेकर पीपल चौक होशंगाबाद के समीप एक दिवसीय संभाग स्तरीय धरना/सभा कार्यक्रम किया गया। कार्यक्रम में प्रमुख रुप से प्रदेश उपाध्यक्ष रामकृष्ण  चौधरी, राष्ट्रीय कार्यकारिणी सदस्य सुरेश गुर्जर, प्रांतीय मंत्री चंद्रकांत गौर, प्रांतीय जैविक प्रमुख सर्वज्ञ दीवान, होशंगाबाद जिलाध्यक्ष सूरजबली जाट, बैतूल जिलाध्यक्ष फांसीराम जी दावले, संभागीय मंत्री शैतान सिंह सहित लगभग (600-700) किसानों ने भाग लिया। वक्ता्ओं द्वारा किसानों की समस्याओं को लेकर अपने वक्त‍व्य दिये। वक्ताओं द्वारा संभाग में संभागायुक्त तुरंत नियुक्त करने, लंबित फसल क्षतिपूर्ति बीमा राशि भुगतान करने, मूंग के लिये नहरों में पानी देने, अधिकारियों की कार्यप्रणाली के संबंध में वक्तगव्य दिये गये। धरना स्थल पर डिप्टी कमिश्नर मनोज तिवारी को 14 सूत्रीय मांगों का ज्ञापन सौंपा गया। किसान संघ को मनोज तिवारी द्वारा आश्वासन दिया गया कि उक्त  मांगों को लेकर कमिश्नर महोदय के समक्ष बिंदुवार चर्चा की जायेगी। जिस पर किसानों ने आपत्ति ली। चर्चा पश्चात् निर्णय लिया गया कि 02 दिवस में किसान प्रतिनिधियों के साथ बैठक आयोजित कर मांगों पर समाधान किया जायेगा। बाद 16.30 बजे धरना समाप्ति की घोषणा की गयी। धरना पश्चात् धरना स्थल पर ही प्रांतीय संभागीय, जिला पदाधिकारियों की बैठक हुई। जिसमें निर्णय लिया गया कि यदि बैठक में सकारात्मक निर्णय नहीं होते हैं तो किसान संघ द्वारा नहर विभाग के अधिकारियों के पुतले जलाकर विरोध करेंगे एवं अपने-अपने क्षेत्र के जनप्रतिनिधियों का घेराव कर मूंग फसल हेतु नहरों में पानी छोडने की मांग की जावेगी।",अन्‍य,1970-01-01 00:24:16.941399,जगदीश पाटिल,['कृषक संगठन'],700,नहरों का पानी/सिचाई समस्या,3,40,11,7,नहरों का पानी/सिचाई समस्या
Hoshangabad,61446,19,अन्य,"दिनांक 02.03.16 को 13.00 बजे से 16.00 बजे तक भाकिसं (रामभरौस बासौतिया गुट) विभागाध्यक्ष जगदीश पाटिल के नेतृत्व में 8 सूत्रीय मांगों- गर्मी की मूंग की फसल हेतु नहरों से पानी दिया जाए, गेहूं खरीदी केन्द्रों के तौल कांटों का प्रमाणीकरण आदि को लेकर पीपल चौक होशंगाबाद के समीप एक दिवसीय संभाग स्तरीय धरना/सभा कार्यक्रम किया गया। कार्यक्रम में प्रमुख रुप से प्रदेश उपाध्यक्ष रामकृष्ण  चौधरी, राष्ट्रीय कार्यकारिणी सदस्य सुरेश गुर्जर, प्रांतीय मंत्री चंद्रकांत गौर, प्रांतीय जैविक प्रमुख सर्वज्ञ दीवान, होशंगाबाद जिलाध्यक्ष सूरजबली जाट, बैतूल जिलाध्यक्ष फांसीराम जी दावले, संभागीय मंत्री शैतान सिंह सहित लगभग (600-700) किसानों ने भाग लिया। वक्ता्ओं द्वारा किसानों की समस्याओं को लेकर अपने वक्त‍व्य दिये। वक्ताओं द्वारा संभाग में संभागायुक्त तुरंत नियुक्त करने, लंबित फसल क्षतिपूर्ति बीमा राशि भुगतान करने, मूंग के लिये नहरों में पानी देने, अधिकारियों की कार्यप्रणाली के संबंध में वक्तगव्य दिये गये। धरना स्थल पर डिप्टी कमिश्नर मनोज तिवारी को 14 सूत्रीय मांगों का ज्ञापन सौंपा गया। किसान संघ को मनोज तिवारी द्वारा आश्वासन दिया गया कि उक्त  मांगों को लेकर कमिश्नर महोदय के समक्ष बिंदुवार चर्चा की जायेगी। जिस पर किसानों ने आपत्ति ली। चर्चा पश्चात् निर्णय लिया गया कि 02 दिवस में किसान प्रतिनिधियों के साथ बैठक आयोजित कर मांगों पर समाधान किया जायेगा। बाद 16.30 बजे धरना समाप्ति की घोषणा की गयी। धरना पश्चात् धरना स्थल पर ही प्रांतीय संभागीय, जिला पदाधिकारियों की बैठक हुई। जिसमें निर्णय लिया गया कि यदि बैठक में सकारात्मक निर्णय नहीं होते हैं तो किसान संघ द्वारा नहर विभाग के अधिकारियों के पुतले जलाकर विरोध करेंगे एवं अपने-अपने क्षेत्र के जनप्रतिनिधियों का घेराव कर मूंग फसल हेतु नहरों में पानी छोडने की मांग की जावेगी।",अन्‍य,1970-01-01 00:24:16.941399,जगदीश पाटिल,['कृषक संगठन'],700,फ़सल ख़राब/फसल अफलन,3,40,11,0,फ़सल ख़राब/फसल अफलन
Vidisha,61877,28,बैठक,"दिनांक 2.3.16 को 16:00 बजे से 17:00 बजे तक किसान विकास परिषद कार्यालय रामद्वारा विदिशा पर संयोजक देवेन्द्र  राठौर की अध्यक्षता में पदाधिकारियों की एक बैठक करीब 25-30 की उपस्थिति में आयोजित की गई। किसानों के गेहूं का समर्थन मूल्य 2500 रूपये किये जाने, सूखग्रस्त किसानें के बैंक ब्याज माफ किये जाने, ब्याज वासूली स्थगित किये जाने, मकोडिया डेम का कार्य प्रारंभ किये जाने, नगर में पेयजल समस्या का शीघ्र निराकरण किये जाने आदि के संबंध में चर्चा की गई। बैठक में प्रमुख रूप से हिन्द किसान संगठन के अध्यक्ष रामसिंह यादव, किसान महासंघ के अध्यक्ष तुलसीराम ठाकुर, किसान अधिकार परिषद के जिला अध्यक्ष विक्रमसिंह रघुवंशी, किसान कांग्रेस के ब्लॉक अध्यक्ष प्रदीप दांगी, अशुल शर्मा आदि उपस्थित रहे। बैठक में उक्त मांगो को लेकर योजना बनाई गई है कि दिनांक 8.3.16 को विदिशा से दिल्ली के लिए रवाना होकर दिनांक 9.3.16 को दिल्ली पहुंचकर विदेशमंत्री एवं क्षेत्रीय सांसद श्रीमति सुषमा स्वराज के दिल्ली स्थित निवास पर घेराव किया जायेगा।  मांगो का निराकरण नहीं  होता है तो दिनांक 10.3.16 को माननीय प्रधानमंत्री महोदय के निवास के समक्ष प्रदर्शन किये जाने के संबंध में चर्चा की गई हैं।",अन्‍य,1970-01-01 00:24:17.093711,संयोजक देवेन्द्र  राठौर,['कृषक संगठन'],25,मूल्य न मिलना(Minimum Support Price(MSP)),3,40,23,8,मूल्य न मिलना(Minimum Support Price(MSP))
Sagar,61898,39,अन्य,"किसान संघ - दिनांक 3.3.16 को मकरोनिया स्थित कार्यालय में श्री  दीपक पौराणिक प्रदेश सचिव किसान संघ में समिति की अध्य3क्षता में 16.00 बजे से 17.00 तक बैठक  (20)आयोजित हुई। बैठक में किसान कर्ज माफी अभियान, आम आयोग का गठन, पेशन व सुरक्षा  योजना ,सिंचाई व्यरवस्थाक, नदी जोडो परियोजना प्रारंभ करने के लिये प्रदेश में अभियान चलाये जाने का निर्णय लिया गया तिथि बार कार्यक्रम तय किया जाना प्रस्ताभवित है।",भारतीय किसान संघ (आरएसएस),1970-01-01 00:24:17.095299,श्री  दीपक पौराणिक प्रदेश सचिव किसान संघ में समिति की अध्य3क्षता में,['कृषक संगठन'],20,नहरों का पानी/सिचाई समस्या,3,25,68,7,नहरों का पानी/सिचाई समस्या
Ujjain,62069,42,अन्य,"श्रमिकों को भवन निर्माण मंडल द्वारा 2 हजार रूपये सहायता राशि दी जाती है वह वर्ष 2014 से बंद कर दी गई है जिसे दिये जाने, लोकसेवा गांरटी योजना लागु किये जाने, मजदूरों के पंजीयन किये जाने आदि मांगों को लेकर असंगठित मजदूर संघ उज्जैन अध्यक्ष लक्ष्मीनारायण रजक के नेतृत्व में दिनांक 26.2.2016 से आगर रोड स्थित नगर निगम गेट के समक्ष अनिश्चितकालीन धरना प्रारंभ किया गया दिनांक 4.3.2016 को भी यथावत जारी रखकर शाम 16 से 18 बजे तक लगभग 8-10 की उपस्थिति में धरना दिया गया।",अन्‍य,1970-01-01 00:24:17.109050,असंगठित मजदूर संघ उज्जैन अध्यक्ष लक्ष्मीनारायण रजक,['कृषक संगठन'],8,सहायता राशि/मुआवज़ा,3,40,50,10,सहायता राशि/मुआवज़ा
