district_id,organization_id,organization_type_id,intotal,year,month,week_of_month,weekday,hour,demand_id,demand_clean,time
14,2.0,3,20,2016,2,1,0,14,7,नहरों का पानी/सिचाई समस्या,2016-02-01 14:37:45.000000
42,2.0,3,25,2016,2,1,0,16,12,जमीनअधिग्रहण,2016-02-01 16:14:38.000000
42,2.0,3,25,2016,2,1,0,16,0,फ़सल ख़राब/फसल अफलन,2016-02-01 16:14:38.000000
42,2.0,3,25,2016,2,1,0,16,3,बिजली बिल,2016-02-01 16:14:38.000000
27,2.0,3,35,2016,2,1,0,17,1,फसल बीमा,2016-02-01 17:01:55.000000
21,25.0,3,100,2016,2,1,1,11,10,सहायता राशि/मुआवज़ा,2016-02-02 11:44:14.000000
21,25.0,3,100,2016,2,1,1,11,10,सहायता राशि/मुआवज़ा,2016-02-02 11:44:14.000000
21,25.0,3,100,2016,2,1,1,11,10,सहायता राशि/मुआवज़ा,2016-02-02 11:44:14.000000
25,25.0,3,60,2016,2,1,1,16,1,फसल बीमा,2016-02-02 16:02:10.000000
19,2.0,3,15,2016,2,1,1,16,1,फसल बीमा,2016-02-02 16:19:31.000000
42,2.0,3,60,2016,2,1,1,16,12,जमीनअधिग्रहण,2016-02-02 16:25:43.000000
24,40.0,3,30,2016,2,1,1,16,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-02 16:38:29.000000
24,40.0,3,30,2016,2,1,1,16,7,नहरों का पानी/सिचाई समस्या,2016-02-02 16:38:29.000000
24,40.0,3,30,2016,2,1,1,16,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-02 16:38:29.000000
24,40.0,3,30,2016,2,1,1,16,7,नहरों का पानी/सिचाई समस्या,2016-02-02 16:38:29.000000
16,25.0,3,90,2016,2,1,1,19,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-02 19:13:04.000000
16,25.0,3,90,2016,2,1,1,19,1,फसल बीमा,2016-02-02 19:13:04.000000
25,25.0,3,10,2016,2,1,2,15,1,फसल बीमा,2016-02-03 15:47:52.000000
43,2.0,3,100,2016,2,1,2,16,1,फसल बीमा,2016-02-03 16:24:59.000000
24,40.0,3,10,2016,2,1,2,16,7,नहरों का पानी/सिचाई समस्या,2016-02-03 16:47:55.000000
24,40.0,3,10,2016,2,1,2,16,7,नहरों का पानी/सिचाई समस्या,2016-02-03 16:47:55.000000
35,13.0,3,0,2016,2,1,2,16,7,नहरों का पानी/सिचाई समस्या,2016-02-03 16:50:16.000000
11,40.0,3,35,2016,2,1,3,11,7,नहरों का पानी/सिचाई समस्या,2016-02-04 11:55:51.000000
24,40.0,3,8,2016,2,1,3,15,7,नहरों का पानी/सिचाई समस्या,2016-02-04 15:38:50.000000
1,2.0,3,9,2016,2,1,3,16,1,फसल बीमा,2016-02-04 16:01:21.000000
6,,3,0,2016,2,1,3,20,9,किसानों द्वारा आत्महत्या/आत्महत्या का प्रयास,2016-02-04 20:22:01.000000
6,,3,0,2016,2,1,3,20,0,फ़सल ख़राब/फसल अफलन,2016-02-04 20:22:01.000000
30,2.0,3,35,2016,2,1,4,15,1,फसल बीमा,2016-02-05 15:26:06.000000
30,2.0,3,35,2016,2,1,4,15,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-05 15:26:06.000000
1,2.0,3,150,2016,2,1,4,15,10,सहायता राशि/मुआवज़ा,2016-02-05 15:56:18.000000
24,40.0,3,8,2016,2,1,4,15,7,नहरों का पानी/सिचाई समस्या,2016-02-05 15:58:08.000000
43,2.0,3,90,2016,2,1,4,16,1,फसल बीमा,2016-02-05 16:21:06.000000
24,40.0,3,8,2016,2,1,5,15,7,नहरों का पानी/सिचाई समस्या,2016-02-06 15:38:47.000000
45,40.0,3,15,2016,2,1,5,17,7,नहरों का पानी/सिचाई समस्या,2016-02-06 17:19:04.000000
43,2.0,3,10,2016,2,2,0,16,1,फसल बीमा,2016-02-08 16:51:50.000000
18,40.0,3,10,2016,2,2,1,17,1,फसल बीमा,2016-02-09 17:00:53.000000
18,40.0,3,10,2016,2,2,1,17,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-09 17:00:53.000000
34,40.0,3,35,2016,2,2,1,18,7,नहरों का पानी/सिचाई समस्या,2016-02-09 18:35:00.000000
34,40.0,3,35,2016,2,2,2,12,7,नहरों का पानी/सिचाई समस्या,2016-02-10 12:41:39.000000
22,24.0,3,50,2016,2,2,2,16,1,फसल बीमा,2016-02-10 16:51:20.000000
18,40.0,3,10,2016,2,2,2,17,1,फसल बीमा,2016-02-10 17:29:10.000000
18,40.0,3,10,2016,2,2,2,17,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-10 17:29:10.000000
34,40.0,3,35,2016,2,2,2,18,7,नहरों का पानी/सिचाई समस्या,2016-02-10 18:18:14.000000
16,25.0,3,0,2016,2,2,3,10,1,फसल बीमा,2016-02-11 10:56:19.000000
16,2.0,3,20,2016,2,2,3,14,1,फसल बीमा,2016-02-11 14:56:02.000000
16,2.0,3,20,2016,2,2,3,14,1,फसल बीमा,2016-02-11 14:56:02.000000
1,2.0,3,80,2016,2,2,3,16,7,नहरों का पानी/सिचाई समस्या,2016-02-11 16:04:06.000000
1,2.0,3,80,2016,2,2,3,16,1,फसल बीमा,2016-02-11 16:04:06.000000
1,2.0,3,80,2016,2,2,3,16,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-11 16:04:06.000000
18,40.0,3,20,2016,2,2,3,17,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-11 17:15:44.000000
18,40.0,3,20,2016,2,2,3,17,1,फसल बीमा,2016-02-11 17:15:44.000000
12,3.0,3,50,2016,2,2,4,13,10,सहायता राशि/मुआवज़ा,2016-02-12 13:08:41.000000
39,40.0,3,10,2016,2,2,4,16,10,सहायता राशि/मुआवज़ा,2016-02-12 16:35:26.000000
34,40.0,3,10,2016,2,2,4,17,7,नहरों का पानी/सिचाई समस्या,2016-02-12 17:10:26.000000
34,40.0,3,10,2016,2,2,4,17,7,नहरों का पानी/सिचाई समस्या,2016-02-12 17:10:26.000000
18,40.0,3,10,2016,2,2,4,18,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-12 18:13:02.000000
18,40.0,3,10,2016,2,2,4,18,1,फसल बीमा,2016-02-12 18:13:02.000000
12,3.0,3,50,2016,2,2,5,12,10,सहायता राशि/मुआवज़ा,2016-02-13 12:08:36.000000
39,13.0,3,300,2016,2,2,5,12,10,सहायता राशि/मुआवज़ा,2016-02-13 12:55:02.000000
18,40.0,3,15,2016,2,2,5,17,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-13 17:33:41.000000
18,40.0,3,15,2016,2,2,5,17,1,फसल बीमा,2016-02-13 17:33:41.000000
18,40.0,3,15,2016,2,2,5,17,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-13 17:33:41.000000
18,40.0,3,15,2016,2,2,5,17,1,फसल बीमा,2016-02-13 17:33:41.000000
28,40.0,3,15,2016,2,2,6,17,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-14 17:10:34.000000
28,40.0,3,15,2016,2,2,6,17,7,नहरों का पानी/सिचाई समस्या,2016-02-14 17:10:34.000000
18,40.0,3,10,2016,2,2,6,18,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-14 18:18:38.000000
18,40.0,3,10,2016,2,2,6,18,1,फसल बीमा,2016-02-14 18:18:38.000000
18,40.0,3,10,2016,2,2,6,18,1,फसल बीमा,2016-02-14 18:18:38.000000
18,40.0,3,10,2016,2,2,6,18,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-14 18:18:38.000000
25,2.0,3,10,2016,2,3,0,15,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-15 15:42:51.000000
25,2.0,3,10,2016,2,3,0,15,1,फसल बीमा,2016-02-15 15:42:51.000000
45,25.0,3,20,2016,2,3,0,15,7,नहरों का पानी/सिचाई समस्या,2016-02-15 15:50:06.000000
20,2.0,3,15,2016,2,3,2,12,1,फसल बीमा,2016-02-17 12:47:16.000000
14,3.0,3,2500,2016,2,3,2,15,1,फसल बीमा,2016-02-17 15:07:02.000000
14,2.0,3,30,2016,2,3,2,15,1,फसल बीमा,2016-02-17 15:12:59.000000
14,2.0,3,30,2016,2,3,2,15,8,मूल्य न मिलना(Minimum Support Price(MSP)),2016-02-17 15:12:59.000000
22,2.0,3,10,2016,2,3,2,15,1,फसल बीमा,2016-02-17 15:58:40.000000
